Country,Happiness Score,GDP per Capita,Family,Healthy Life Expectancy,Freedom,Perception of Government Corruption,Generosity
Finland,7.769,1.34,1.587,0.986,0.596,0.393,0.153
Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252
Norway,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.341,0.271
Iceland,7.494,1.38,1.624,1.026,0.591,0.118,0.354
Netherlands,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.298,0.322
Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.343,0.263
Sweden,7.343,1.3869999999999998,1.487,1.009,0.574,0.373,0.267
New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33
Canada,7.278,1.365,1.505,1.039,0.584,0.308,0.285
Austria,7.246,1.376,1.475,1.016,0.532,0.226,0.244
Australia,7.228,1.372,1.548,1.036,0.557,0.29,0.332
Costa Rica,7.167000000000002,1.034,1.4409999999999998,0.963,0.5579999999999999,0.093,0.14400000000000002
Israel,7.1389999999999985,1.276,1.455,1.029,0.371,0.08199999999999999,0.261
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.316,0.194
United Kingdom,7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,0.278,0.348
Ireland,7.021,1.499,1.5530000000000002,0.999,0.516,0.31,0.298
Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.265,0.261
Belgium,6.922999999999999,1.356,1.504,0.986,0.473,0.21,0.16
United States,6.892,1.433,1.457,0.8740000000000001,0.454,0.128,0.28
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.036000000000000004,0.046
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.182,0.262
Malta,6.726,1.3,1.52,0.999,0.564,0.151,0.375
Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001
France,6.5920000000000005,1.324,1.472,1.045,0.436,0.183,0.111
Taiwan,6.4460000000000015,1.368,1.43,0.914,0.35100000000000003,0.097,0.242
Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.056,0.187
Guatemala,6.436,0.8,1.269,0.746,0.535,0.078,0.175
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.132,0.08
Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.16699999999999998,0.22
Spain,6.354,1.286,1.484,1.062,0.362,0.079,0.153
Panama,6.3210000000000015,1.149,1.442,0.91,0.516,0.054000000000000006,0.109
Brazil,6.3,1.004,1.439,0.802,0.39,0.086,0.099
Uruguay,6.292999999999998,1.124,1.465,0.8909999999999999,0.523,0.15,0.127
Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.453,0.271
El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.07400000000000001,0.093
Italy,6.223,1.294,1.4880000000000002,1.039,0.231,0.03,0.158
Bahrain,6.199,1.362,1.368,0.871,0.536,0.11,0.255
Slovakia,6.198,1.246,1.504,0.8809999999999999,0.334,0.014,0.121
Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.016,0.185
